5.016	5.081	0.064432
5.045	9.46	0.037861
5.011	13.954	0.081158
5.043	18.4039	0.053283
5.085	22.8217	0.035073
5.042	27.2498	0.0939
5.078	31.7418	0.087594
5.023	36.195	0.055016
5.055	40.591	0.062248
5.093	45.008	0.058704
9.524	5.091	0.020774
9.453	9.542	0.030125
9.541	13.892	0.047092
9.536	18.3365	0.023049
9.507	22.8159	0.084431
9.449	27.2902	0.019476
9.483	31.6922	0.022592
9.48	36.137	0.017071
9.474	40.639	0.022766
9.522	45.005	0.04357
13.92	5.013	0.03111
13.912	9.54	0.092338
13.889	13.974	0.043021
13.907	18.361	0.018482
13.924	22.8543	0.090488
13.979	27.2877	0.097975
13.913	31.7173	0.043887
13.971	36.193	0.011112
13.963	40.614	0.025806
13.938	45.053	0.040872
18.3862	5.091	0.05949
18.4247	9.493	0.026221
18.4108	13.982	0.060284
18.3597	18.338	0.071122
18.3847	22.8573	0.022175
18.4278	27.2385	0.011742
18.3737	31.7366	0.029668
18.3349	36.135	0.031878
18.3522	40.611	0.042417
18.3769	45.078	0.050786
22.7943	5.063	0.0085516
22.793	9.524	0.026248
22.8595	13.957	0.080101
22.7923	18.343	0.002922
22.818	22.7965	0.092885
22.8269	27.2341	0.073033
22.7874	31.7558	0.048861
22.7821	36.204	0.057853
22.8465	40.647	0.023728
22.8225	45.093	0.045885
27.2824	5.01	0.096309
27.3048	9.459	0.054681
27.3091	13.965	0.052114
27.2358	18.4157	0.023159
27.2298	22.8268	0.04889
27.2711	27.2721	0.062406
27.2354	31.7626	0.067914
27.2391	36.146	0.039552
27.2406	40.584	0.036744
27.2529	45.013	0.098798
31.693	5.028	0.0037739
31.7205	9.487	0.088517
31.6751	13.963	0.091329
31.7536	18.4028	0.079618
31.6907	22.8223	0.0098712
31.7004	27.3182	0.026187
31.7609	31.7214	0.033536
31.7316	36.131	0.067973
31.7035	40.631	0.013655
31.7175	45.057	0.072123
36.177	5.055	0.010676
36.211	9.536	0.065376
36.151	13.928	0.049417
36.169	18.365	0.077905
36.123	22.8424	0.071504
36.201	27.2563	0.090372
36.207	31.6805	0.089092
36.184	36.136	0.033416
36.174	40.631	0.069875
36.162	45.047	0.019781
40.624	5.096	0.0030541
40.563	9.524	0.074407
40.582	13.954	0.050002
40.611	18.4284	0.047992
40.574	22.8487	0.090472
40.592	27.2807	0.060987
40.613	31.6816	0.061767
40.62	36.173	0.085944
40.634	40.594	0.080549
40.637	45.001	0.057672
45.075	5.096	0.018292
45.044	9.54	0.023993
45.08	13.906	0.088651
45.014	18.3368	0.0028674
45.024	22.8532	0.04899
45.011	27.2446	0.016793
45.006	31.6924	0.097868
45.045	36.158	0.071269
45.008	40.612	0.050047
45.079	45.034	0.047109
